31P: SSC	31N: Diff.Spg	33N: broad Spg	2P: B.Spg double peak	2N: B.Spg single peak	5N: (pre)Leptotene	44N: Zygotene	38P: MSCI	27P: early General	23P: Z-P	13N: early Pachytene	39N: late Pachytene	20N: Meiotic Division
Patz1	Crabp1	Crabp1	Gsr	Esx1	Gm7972	Ccnb3	Pim2	Nsrp1	Pnisr	4921513H07Rik	Pabpc1	Rps13-ps1
Stk24	Ccnd1	Dmrt1	Tbx1	Trap1a	Prdm9	Meiob	Vax2	Psmd13	Rps5	Gm14244	Ldhc	1700001F09Rik
Sgk3	Ptma	Cdca7	2900052L18Rik	Ctcfl	Zcwpw1	Usp26	Tex19.2	Lcmt1	Tmem5	1700097M23Rik	Lyar	Gm3453
Nradd	Hmgn2	Mcm2	Nans	Aig1	Ddb2	Rad51ap2	Npr2	Aars	Sec11a	Piwil1	Calm1	Rgcc
Brwd3	Tbx1	Cenpa	Rcc2	Tex13b	Prss50	Fmr1	Enox2	Gosr1	Psma1	4930405N21Rik	Rsph1	Dydc1
Trim12c	Rhox13	Clspn	Cbwd1	Elavl2	Ugt8a	Rnpc3	Calr-ps	Cerk	1700013H16Rik	Gm21269	Ybx1	Ssxb1
F11r	Ccna2	Ptma	Homer2	Lman1	Dmc1	Tex16	Cib2	Nbn	Fbxo3	Tdrd1	mt-Rnr2	Gm10354
Xlr3c	Esx1	Ccna2	Gmnn	Nudt17	Pbx3	Pet2	Gm17177	Samd8	Hfm1	Tdrd5	Tuba3b	Ccnb1
Gm34006	Mki67	Ncl	Baz1b	Pou4f1	Stra8	Zfy1	Aen	Ddx21	Taf7l	4930579G24Rik	Nasp	Jakmip2
Atg14	Rbp4	Uchl1	Phf11d	Syngr1	Eml5	Ccdc152	Idh3g	Sycp1	Ube2e1	9330102E08Rik	Meig1	Gm3149
Smim22	Mbnl3	Anp32b	Cdk6	Dapk2	Tex15	Gm960	Sgce	Ppp2cb	Hnrnpc	Pnmal1	Phf7	Map4k1
Kmt2c	Cenpa	Wdhd1	Polr2f	Tk1	Inca1	Mki67	Gm12666	Rsl1d1	Tmed10	1700006A11Rik	Hsp90aa1	Arl14ep
Piwil4	Rps3a3	Selenoh	Lrrc42	Plod1	Esco2	Zfy2	Fmr1	Fbxw7	Cenpp	4933435G04Rik	Fabp9	Dnaic2
Lpcat1	Cd63	Hmgn2	Nmral1	Selenom	Gm4969	Hfm1	Rhox1	Pa2g4	Rps9	4921525O09Rik	Ybx3	Gm8362
Ski	Dek	Zrsr2	Me2	Tm7sf3	Primpol	Usp9y	Gata3	C2cd6b	H2-K1	Gm6639	Calm2	Snx3
Ptbp3	Rpl36a	Ccnd1	Lipt2	Setd6	Gal3st1	Ofd1	Rad51ap2	Hells	mt-Nd2	Fam181a	Ropn1l	Iqca
Arrb2	Tex13b	Hells	Lama5	Melk	Rbpms2	Aspm	Gm28874	Tmem11	Srsf2	1700040D17Rik	Asrgl1	Tekt4
Cdk4	Mcm2	Hspe1	Hmgb1	Ddhd2	Gm15262	Cmc4	Ube2a	Spint1	Snrpe	Stambp	Rbakdn	Gm3127
Spg21	Fbl	Ctps	Stmn1	Pnma5	Rad21l	Pdss1	Magea8	Eif5b	Hsp90b1	Gstt2	Gkap1	Dcaf7
Acot13	Lmo1	Stra8	Met	Tmem9	4930447C04Rik	Taf15	Gm364	Rps6ka6	Cirbp	Chd3os	Tuba3a	Gm17019
Sfrp1	Serpine2	Sohlh1	Gm42067	Kmt2a	Acer3	Trim52	Gm20501	Erp44	4921524J17Rik	Id4	Cox8c	Gm1821
Kazn	Hmgb2	D10Wsu102e	Rnf208	Rhox13	Atad5	Bub1	Ddx3x	Smc4	Polr2g	Mgll	Cfap36	Gm4181
Gm45716	Esco2	Map7d2	Siah1b	Smc1a	Eaf2	Nxt2	Fthl17e	Wdr89	Slc25a31	Adad2	Tcp1	4933428M09Rik
Pcp4l1	Cited1	Mdn1	Tnip2	Rpl39	Uba6	Ythdc2	Rhox13	Casp8ap2	Scml2	Zfp389	Smc4	Speer4e
Sipa1	Gm4617	Lig1	Cecr2	Mbnl3	Brca2	Dzip3	Ktn1	Ctsd	Atp6ap2	BC049730	Crisp2	AC127597.1
Gm14124	Gnai1	Mcm4	Prtg	Cxadr	Pigp	Gm29107	Rbmx	Stk10	1700020N01Rik	Ttc30a1	Clgn	Sh3gl1
Tcf15	Gal	Dkc1	Tubb5	C2cd5	Prim1	Uso1	Cyp46a1	Ccnb1	Hnrnph3	Cers3	Atxn7l3b	Rasl2-9
Pygl	H1fx	Mcm6	Phf13	Nucks1	Lrrc42	Spdl1	Trap1a	Arcn1	Asf1b	5330409N07Rik	Piwil1	Gm7672
Gm8960	Fbxo5	Baz1b	Crybg2	Arf2	H2-K1	5031425E22Rik	Cdkn1a	Kif23	Cenpq	4930444F02Rik	Trim37	Med28
Lamb1	Melk	Elavl2	Fbl	Cd9	Smc1b	BC004004	Tcp11l1	Mrpl52	Tesmin	Dut	Ggnbp1	A930018P22Rik
Aff3	Coq7	Pop1	Iah1	Chga	Lig1	Oxsr1	Mdk	Pias4	Degs1	4933412L11Rik	Dkkl1	Gm15728
Enc1	Rflnb	Dnmt3b	Figla	Morc4	Fmr1nb	Parg	Magea2	Ngly1	Fthl17-ps3	Gm4763	Smim24	Rfx8
Rrad	Nt5dc2	Rars	Zcwpw1	Dkc1	Cyld	Zfp322a	Ccng1	Spc25	Fkbp6	4933404O12Rik	Mllt10	Aurka
Ddit4	Lonrf3	Huwe1	Plppr3	Zfp810	Msh5	Nbeal1	Rhox3f	Tm9sf3	Pcgf5	Chst1	1700010I14Rik	Gtf2e2
Zbtb43	Anp32b	Nmt2	Pbx3	Fermt2	Ppfibp1	Gm37785	Cers4	Pbrm1	Elavl3	1700009C05Rik	Ubb	Cdkn3
Cnn3	Kit	Taf1	Cox8a	R3hdm4	Fmr1	Ccdc18	Xlr4a	Nop14	Cks2	Wdfy3	Fbp1	Abhd17b
9130401M01Rik	Stra8	Dnmt1	Hspb11	1700013H16Rik	Brip1	Scml2	Defb15	Mrps14	Psma2	Prok2	Spata4	Selenof
2010300C02Rik	Tcea3	Wdr43	Pgd	Prps1	Gm4349	Tbk1	Hoxd9	Wfdc3	Hormad2	Cry1	Ccdc136	D16Ertd472e
Aff1	Anp32a	Ddhd2	Rnpc3	Gm15262	Bclaf3	Pts	Gm7173	Cntrl	Ssr2	AC158938.1	Setx	Tbpl1
Anp32e	Slc9a6	Myo1b	H2-D1	Trappc2	Haus8	Apool	Scml1	Chek1	Rps27l	Pou2f2	Hspa2	Gm6408
Dstn	Cnksr2	Cebpz	Coq7	Tex11	Ap1s2	Dopey1	Ikbip	Dhx36	Sycp2	Mark2	Gstm5	Sirt3
H2afy2	Colgalt1	Dek	Cenpf	Ssr2	Ddx43	Ap1s2	Dppa4	Brca2	mt-Nd4	Pld6	Mael	Rilpl2
Plekha1	Arf2	Scaf11	Zrsr2	Atp2c1	Casp8ap2	Cenpc1	Timm17b	Ppig	Ssb	Gm5624	Spink2	Ssxb3
Mfsd1	Atad5	Mier1	Nrbp1	Plcb3	Hells	Odf2l	Celf4	Gal	Rcn2	Pkmyt1	Psip1	Tagln2
Xpc	Ccng1	Iah1	Rnd2	Pias3	Ttc3	Uba5	Gm12580	Gkap1	Ddx39	Taf2	Ldhal6b	Ccna1
Mgmt	Hmgb1	Coq7	Hells	Rpph1	Pdia4	Mysm1	Atp6ap2	Sae1	4930447C04Rik	Gm21284	Pdcl2	Gm12695
Mageb10-ps	Nucks1	Cks1b	Dusp2	Mdp1	Mki67	Primpol	Pygo1	Hat1	Hormad1	Fbxo3	Sycp2	1700067K01Rik
Egr1	Snx16	Gsr	Pole4	Itgb1	Setdb1	Gm36371	Usp11	Sf3b2	mt-Nd1	AC154404.1	Sh3glb1	Mypop
Klf7	Neto2	Mcm3	Bub1	Mtss1	Bub1	H2-D1	Ang4	Mphosph8	Swi5	2610001J05Rik	Cdc42ep3	Gm5565
