MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1919900	2810006K23Rik	RIKEN cDNA 2810006K23 gene	5		mitochondrial large ribosomal subunit			IBA	PTN000117736 	J:265628 
MGI:1929538	Dap3	death associated protein 3	3		mitochondrial small ribosomal subunit			IBA	PTN000301682 	J:265628 
MGI:1929538	Dap3	death associated protein 3	3		small ribosomal subunit			IEA	IPR008092 	J:72247 
MGI:103064	Ddx3x	DEAD box helicase 3, X-linked	X	colocalizes_with	cytosolic small ribosomal subunit			ISO	O00571 	J:164563 
MGI:2145374	Dhx29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	13		cytosolic small ribosomal subunit			ISO	Q7Z478 	J:164563 
MGI:1098684	Eif2a	eukaryotic translation initiation factor 2A	3		cytosolic small ribosomal subunit			IBA	PTN000325517 	J:265628 
MGI:109342	Eif2d	eukaryotic translation initiation factor 2D	1	colocalizes_with	cytosolic small ribosomal subunit			IBA	PTN000259347 	J:265628 
MGI:109342	Eif2d	eukaryotic translation initiation factor 2D	1	colocalizes_with	cytosolic small ribosomal subunit			ISO	P41214 	J:164563 
MGI:102547	Fau	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)	19		cytosolic small ribosomal subunit			ISO	P62861 	J:164563 
MGI:3781727	Gm3550	predicted gene 3550	18		cytosolic large ribosomal subunit			IBA	PTN000306390 	J:265628 
MGI:3647029	Gm6133	predicted gene 6133	18		cytosolic large ribosomal subunit			IBA	PTN000174131 	J:265628 
MGI:3648757	Gm6525	predicted pseudogene 6525	3		cytosolic large ribosomal subunit			IBA	PTN000042522 	J:265628 
MGI:3649357	Gm14214	predicted gene 14214	2		cytosolic large ribosomal subunit			IBA	PTN000559990 	J:265628 
MGI:3644991	Gm15013	predicted gene 15013	X		cytosolic small ribosomal subunit			IBA	PTN000171891 	J:265628 
MGI:5141974	Gm20509	predicted gene 20509	9		cytosolic large ribosomal subunit			IBA	PTN000846433 	J:265628 
MGI:5804828	Gm45713	predicted gene 45713	7		cytosolic large ribosomal subunit			IBA	PTN000166703 	J:265628 
MGI:6215179	Gm49711	predicted gene, 49711	16		mitochondrial small ribosomal subunit			IBA	PTN000470371 	J:265628 
MGI:6270466	Gm49804	predicted gene, 49804	17		cytosolic small ribosomal subunit			IBA	PTN000254423 	J:265628 
MGI:96015	Hba-a1	hemoglobin alpha, adult chain 1	11		cytosolic small ribosomal subunit			ISO	P69905 	J:164563 
MGI:96016	Hba-a2	hemoglobin alpha, adult chain 2	11		cytosolic small ribosomal subunit			ISO	P69905 	J:164563 
MGI:1855694	Isg15	ISG15 ubiquitin-like modifier	4		cytosolic small ribosomal subunit			IBA	PTN002241455 	J:265628 
MGI:1855694	Isg15	ISG15 ubiquitin-like modifier	4		small ribosomal subunit			IBA	PTN002241455 	J:265628 
MGI:2443114	Larp4	La ribonucleoprotein domain family, member 4	15	colocalizes_with	cytosolic small ribosomal subunit			ISO	Q71RC2 	J:164563 
MGI:1922843	Malsu1	mitochondrial assembly of ribosomal large subunit 1	6	colocalizes_with	mitochondrial large ribosomal subunit			ISO	Q96EH3 	J:164563 
MGI:1916245	Mcts1	malignant T cell amplified sequence 1	X	colocalizes_with	cytosolic small ribosomal subunit			ISO	Q9ULC4 	J:164563 
